papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Bruta,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Líq/ Patrim.,Cresc. Rec.5a,Earnings Yield,Valor,Quantidade,Estratégia,Ativos na Carteira,Volume Mínimo,Data,Ranking_EY,Ranking_ROIC,Magic Formula
CEAB3,11.15,5.88,0.93,0.43,0.046799999999999994,0.398,2.14,3.6,-3.77,3.74,2.74,"55,84%",0.11939999999999999,0.0732,1.67,14.7,0.15789999999999998,105901000.0,3702830000.0,0.04,0.09910000000000001,26.7,116472.90000000001,10446.0,Earnings Yield,20,400000,2026-05-21,,,
CSED3,4.32,5.79,0.95,0.549,0.1124,0.324,3.57,2.92,-0.8,3.77,2.52,"51,06%",0.1881,0.0949,1.55,14.3,0.1646,4218800.0,1652140000.0,0.28,0.1143,26.5,97752.96,22628.0,Earnings Yield,20,400000,2026-05-21,,,
ASAI3,8.61,16.65,1.98,0.151,0.0121,0.247,7.19,1.88,-0.49,3.81,2.96,"17,44%",0.0803,0.009000000000000001,1.1,19.7,0.1189,119431000.0,5887000000.0,2.04,0.1492,26.2,118111.98,13718.0,Earnings Yield,20,400000,2026-05-21,,,
PFRM3,6.35,7.45,0.59,0.068,0.1015,0.13,0.75,2.02,-5.52,3.94,2.57,"15,42%",0.0335,0.0097,1.33,11.4,0.0786,1954060.0,1341390000.0,0.56,0.1484,25.4,103016.04999999999,16223.0,Earnings Yield,20,400000,2026-05-21,,,
SEER3,12.29,6.41,1.12,0.7,0.038900000000000004,0.443,3.56,3.17,-1.74,3.95,2.72,"59,66%",0.2211,0.1091,1.56,16.6,0.174,16350200.0,1417590000.0,0.28,0.10859999999999999,25.3,120011.84999999999,9765.0,Earnings Yield,20,400000,2026-05-21,,,
DMVF3,5.86,12.38,0.32,0.107,0.0,0.15,8.91,3.77,-0.67,4.44,1.61,"28,80%",0.0285,0.0087,1.06,4.9,0.026000000000000002,644513.0,920792000.0,0.06,0.2224,22.5,118741.18000000001,20263.0,Earnings Yield,20,400000,2026-05-21,,,
ANIM3,3.39,10.2,0.57,0.334,0.0229,0.13,1.06,1.12,-0.28,4.52,3.36,"63,13%",0.2969,0.0622,1.9,14.2,0.0562,29136800.0,2388890000.0,1.73,0.061900000000000004,22.1,104930.67,30953.0,Earnings Yield,20,400000,2026-05-21,,,
VLID3,17.63,5.92,0.84,0.718,0.0956,0.474,1.77,4.36,12.64,4.57,3.35,"34,81%",0.1649,0.12480000000000001,2.32,15.0,0.1422,7623390.0,1714470000.0,0.04,-0.008100000000000001,21.9,134869.5,7650.0,Earnings Yield,20,400000,2026-05-21,,,
BEEF3,4.26,5.99,3.38,0.075,0.045899999999999996,0.102,0.73,1.09,-0.27,4.59,3.66,"17,06%",0.06849999999999999,0.0132,1.32,17.8,0.5647,70738600.0,1260430000.0,10.86,0.177,21.8,121248.12,28462.0,Earnings Yield,20,400000,2026-05-21,,,
HBRE3,2.91,10.01,0.17,0.544,0.40049999999999997,0.061,-1.8,0.85,-0.16,4.61,4.52,"39,39%",0.6423000000000001,0.18510000000000001,0.72,7.6,0.0166,1197840.0,1809910000.0,0.74,0.4236,21.7,130691.01000000001,44911.0,Earnings Yield,20,400000,2026-05-21,,,
PETR4,44.6,5.34,1.29,1.154,0.0712,0.461,-11.82,2.95,-0.87,4.62,3.19,"47,36%",0.3907,0.2169,0.74,16.8,0.24170000000000003,2475970000.0,445189000000.0,0.73,-0.0288,21.6,130678.0,2930.0,Earnings Yield,20,400000,2026-05-21,,,
IRBR3,53.38,-107.79,0.82,0.882,0.0175,0.283,0.0,11.01,0.0,0.0,0.0,"0,19%",0.0801,-0.008199999999999999,0.0,0.0,-0.0076,40487600.0,5314840000.0,0.00,-0.449,inf,116955.58,2191.0,Earnings Yield,20,1000000,2026-05-21,,,
PSSA3,49.22,8.64,2.05,0.761,0.060599999999999994,0.554,4.8,0.92,-4.12,0.55,0.54,"100,00%",0.8240999999999999,0.08900000000000001,1.24,77.6,0.237,92814400.0,15535900000.0,-0.84,0.15810000000000002,181.8,115765.44,2352.0,Earnings Yield,20,1000000,2026-05-21,,,
WIZC3,8.13,6.69,1.89,0.966,0.07730000000000001,0.538,35.54,1.93,-2.68,1.92,1.66,"61,24%",0.5003,0.2647,1.06,34.9,0.2826,4445100.0,687369000.0,-0.01,0.1384,52.1,110486.70000000001,13590.0,Earnings Yield,20,1000000,2026-05-21,,,
QUAL3,1.86,34.68,0.41,0.38,0.003,0.133,-4.6,0.88,-0.38,2.21,1.52,"87,58%",0.43119999999999997,0.0161,0.92,23.1,0.011699999999999999,8457180.0,1304090000.0,0.61,-0.09609999999999999,45.2,112918.74,60709.0,Earnings Yield,20,1000000,2026-05-21,,,
PCAR3,2.17,-0.51,1.61,0.057,0.0,0.066,-0.27,0.65,-0.1,2.62,1.54,"28,23%",0.0872,-0.1112,0.56,12.8,-3.1601,16082000.0,662000000.0,4.84,-0.13419999999999999,38.2,113234.94,52182.0,Earnings Yield,20,1000000,2026-05-21,,,
PLPL3,10.41,6.32,1.99,0.622,0.0473,0.481,0.82,2.55,2.88,2.66,2.59,"29,95%",0.2441,0.1131,2.87,29.4,0.3156,65767500.0,1064270000.0,0.08,0.28559999999999997,37.6,100852.08,9688.0,Earnings Yield,20,1000000,2026-05-21,,,
BHIA3,1.56,-0.42,0.86,0.051,0.0,0.046,-0.25,0.65,-0.09,3.17,2.19,"30,54%",0.0785,-0.12300000000000001,0.72,10.5,-2.0495,14908500.0,1778000000.0,3.29,-0.0176,31.5,77156.04000000001,49459.0,Earnings Yield,20,1000000,2026-05-21,,,
GOAU4,10.25,23.61,0.72,0.196,0.032400000000000005,0.167,0.74,2.19,24.24,3.51,2.2,"12,02%",0.08960000000000001,0.0241,2.76,8.9,0.0304,85379200.0,18917700000.0,0.43,-0.0506,28.5,131446.0,12824.0,Earnings Yield,20,1000000,2026-05-21,,,
LREN3,14.7,9.91,1.43,0.929,0.060899999999999996,0.784,3.09,4.04,6.05,3.64,2.69,"61,95%",0.2297,0.09369999999999999,1.77,23.8,0.1441,264829000.0,10366100000.0,-0.14,0.0758,27.5,120113.7,8171.0,Earnings Yield,20,1000000,2026-05-21,,,
